Output(100,240)	RAM(220,160)[0]	Register(810,230)	counter(60,290).Output(940,260)
0000	0000 0000	0000 0000	0000
0000	0000 0000	0000 0000	0000
0000	1000 1100	0000 0000	0000
0000	1000 1100	0000 1100	0000
0001	1000 1100	0000 1100	0001
0001	1000 1100	1101 1100	0001
0010	1000 1100	1101 1100	0010
0011	1000 1100	1101 1100	0011
0100	1000 1100	1101 1100	0100
0100	1000 1100	1101 0001	0100
0101	1000 1100	1101 0001	0101
0101	1000 1100	0001 0001	0101
0110	1000 1100	0001 0001	0110
0110	1000 1100	1101 1100	0110
0111	1000 1100	1101 1100	0111
1000	1000 1100	1101 1100	1000
1001	1000 1100	1101 1100	1001
1010	1000 1100	1101 1100	1010
1011	1000 1100	1101 1100	1011
1100	1000 1100	1101 1100	1100
1101	1000 1100	1101 1100	1101
1110	1000 1100	1101 1100	1110
1111	1000 1100	1101 1100	1111
0000	1000 1100	1101 1100	0000
